"GO_id","Count"
"GO:0016740",135
"GO:0006355",116
"GO:0005975",75
"GO:0016020",72
"GO:0006629",65
"GO:0016787",63
"GO:0055085",63
"GO:0016491",45
"GO:0016071",44
"GO:0055086",35
"GO:0006281",34
"GO:0006520",34
"GO:0023052",32
"GO:0003723",27
"GO:0030163",27
"GO:0006091",26
"GO:0003677",25
"GO:0005634",25
"GO:0006399",23
"GO:0006886",23
"GO:0007010",21
"GO:0008270",15
"GO:0042254",15
"GO:0006260",14
"GO:0006457",13
"GO:0048856",11
"GO:0000278",10
"GO:0022414",10
"GO:0006325",8
"GO:0006766",8
"GO:0007059",8
"GO:0016192",8
"GO:0005886",7
"GO:0005737",6
"GO:0005739",6
"GO:0006486",6
"GO:0006913",6
"GO:0007005",6
"GO:0009536",6
"GO:0051604",6
"GO:0061024",6
"GO:0003676",5
"GO:0005509",5
"GO:0007018",5
"GO:0016567",5
"GO:0016829",5
"GO:0003824",4
"GO:0005198",4
"GO:0005524",4
"GO:0032515",4
"GO:0098772",4
"GO:0005576",3
"GO:0006790",3
"GO:0006952",3
"GO:0012501",3
"GO:0015031",3
"GO:0015979",3
"GO:0016209",3
"GO:0030154",3
"GO:0046872",3
"GO:0065003",3
"GO:0098754",3
"GO:0000910",2
"GO:0002181",2
"GO:0003924",2
"GO:0005730",2
"GO:0005840",2
"GO:0005856",2
"GO:0006310",2
"GO:0006351",2
"GO:0006353",2
"GO:0006914",2
"GO:0008092",2
"GO:0009733",2
"GO:0010256",2
"GO:0010274",2
"GO:0016874",2
"GO:0031047",2
"GO:0031347",2
"GO:0043531",2
"GO:0045735",2
"GO:0000166",1
"GO:0003674",1
"GO:0005215",1
"GO:0005506",1
"GO:0005516",1
"GO:0005615",1
"GO:0005783",1
"GO:0005794",1
"GO:0005829",1
"GO:0005854",1
"GO:0006413",1
"GO:0006575",1
"GO:0006996",1
"GO:0008152",1
"GO:0008285",1
"GO:0008289",1
"GO:0008356",1
"GO:0009506",1
"GO:0009611",1
"GO:0009958",1
"GO:0010200",1
"GO:0010468",1
"GO:0030198",1
"GO:0031417",1
"GO:0032502",1
"GO:0043226",1
"GO:0044183",1
"GO:0045182",1
"GO:0046982",1
"GO:0097573",1
"GO:0098542",1
"GO:0098869",1
"GO:0140104",1
