"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","ko04075","Plant hormone signal transduction","10/244","63/14494",8.88752299581506e-08,2.71069451372359e-05,2.32946655363995e-05,"K01535/K01915/K02183/K11816/K13412/K14432/K14484/K14491/K14500/K14514",10
"Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","10/244","107/14494",1.27882589088294e-05,0.00133671787461644,0.00114872390260395,"K00703/K00705/K00844/K00847/K00975/K01179/K01193/K01835/K05349/K07024",10
"Organismal Systems","Environmental adaptation","ko04626","Plant-pathogen interaction","9/244","87/14494",1.53360905521221e-05,0.00133671787461644,0.00114872390260395,"K00864/K02183/K13412/K13424/K13427/K13434/K13447/K13448/K15397",9
"Genetic Information Processing","Transcription","ko03040","Spliceosome","11/244","135/14494",1.7530726224478e-05,0.00133671787461644,0.00114872390260395,"K11091/K12741/K12811/K12813/K12818/K12830/K12843/K12856/K12859/K12896/K12900",11
"Genetic Information Processing","Replication and repair","ko03420","Nucleotide excision repair","7/244","61/14494",7.07269139323646e-05,0.00431434174987424,0.00370757927771764,"K02335/K03141/K03142/K03505/K07466/K10755/K10839",7
"Human Diseases","Neurodegenerative disease","ko05014","Amyotrophic lateral sclerosis","14/244","280/14494",0.000287758213293029,0.014627709175729,0.0125704903701692,"K02133/K02738/K03063/K03945/K06268/K07374/K07901/K10396/K10706/K11352/K11407/K12741/K12896/K14317",14
"Metabolism","Energy metabolism","ko00710","Carbon fixation by Calvin cycle","5/244","37/14494",0.00036431568081299,0.0158737546639946,0.013641293913148,"K00026/K01006/K01602/K01610/K01807",5
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","8/244","108/14494",0.000475916339736259,0.0175593477003059,0.0150898277044907,"K00128/K00627/K00844/K01006/K01610/K01689/K01785/K01835",8
"Metabolism","Metabolism of terpenoids and polyketides","ko00908","Zeatin biosynthesis","3/244","10/14494",0.000518144686238536,0.0175593477003059,0.0150898277044907,"K00279/K10760/K13494",3
NA,NA,"ko04981","Folate transport and metabolism","4/244","24/14494",0.000638750843527583,0.0183805358942711,0.0157955252378723,"K00547/K00600/K01934/K05681",4
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","16/244","378/14494",0.00068641120950431,0.0183805358942711,0.0157955252378723,"K00026/K00140/K00164/K00261/K00600/K00627/K00844/K00851/K01006/K01070/K01079/K01602/K01610/K01689/K01807/K15918",16
"Metabolism","Amino acid metabolism","ko00330","Arginine and proline metabolism","8/244","115/14494",0.000723168625348371,0.0183805358942711,0.0157955252378723,"K00128/K00286/K00472/K00819/K01426/K01611/K10536/K13427",8
"Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","8/244","118/14494",0.000856698055540439,0.018663779067131,0.0160389335210202,"K00012/K00844/K00847/K00975/K01835/K08678/K12373/K15920",8
"Metabolism","Lipid metabolism","ko00564","Glycerophospholipid metabolism","8/244","118/14494",0.000856698055540439,0.018663779067131,0.0160389335210202,"K00006/K00995/K01115/K05929/K08730/K13509/K14674/K18693",8
"Metabolism","Lipid metabolism","ko00561","Glycerolipid metabolism","7/244","95/14494",0.00110465112590534,0.0224612395600753,0.0193023249368723,"K00128/K00864/K01054/K13509/K14674/K15918/K18693",7
"Genetic Information Processing","Replication and repair","ko03410","Base excision repair","5/244","53/14494",0.00192814725011672,0.0367553069553499,0.0315860963999383,"K01246/K02335/K03505/K10755/K10803",5
"Environmental Information Processing","Signal transduction","ko04016","MAPK signaling pathway - plant","5/244","54/14494",0.00209620552205747,0.0376083931898546,0.0323192058818768,"K02183/K13424/K13447/K14514/K20729",5
"Cellular Processes","Transport and catabolism","ko04144","Endocytosis","9/244","169/14494",0.00226992222902876,0.0384625711029873,0.0330532535104187,"K00889/K01115/K07901/K10396/K12188/K12198/K12471/K18467/K19476",9
"Human Diseases","Neurodegenerative disease","ko05012","Parkinson disease","10/244","209/14494",0.00288941933452736,0.0463827840542551,0.0398595797394634,"K02133/K02183/K02738/K03063/K03945/K07374/K10396/K11352/K15040/K21278",10
